timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-14T11:35:00Z,19.7,0.0,Fitbit App
2026-04-14T11:40:00Z,26.1,0.0,Fitbit App
2026-04-14T11:45:00Z,24.3,0.0,Fitbit App
2026-04-14T11:50:00Z,21.7,0.0,Fitbit App
2026-04-14T11:55:00Z,29.4,0.0,Fitbit App
2026-04-14T12:00:00Z,32.0,0.0,Fitbit App
2026-04-14T12:05:00Z,27.8,0.0,Fitbit App
2026-04-14T12:10:00Z,25.7,0.0,Fitbit App
2026-04-14T12:15:00Z,26.6,0.0,Fitbit App
2026-04-14T12:20:00Z,37.4,0.0,Fitbit App
2026-04-14T12:25:00Z,30.8,0.0,Fitbit App
2026-04-14T12:30:00Z,25.6,0.0,Fitbit App
2026-04-14T12:35:00Z,22.0,0.0,Fitbit App
2026-04-14T12:40:00Z,29.8,0.0,Fitbit App
2026-04-14T12:45:00Z,25.8,0.0,Fitbit App
2026-04-14T12:50:00Z,27.6,0.0,Fitbit App
2026-04-14T12:55:00Z,19.7,0.0,Fitbit App
2026-04-14T13:00:00Z,19.9,0.0,Fitbit App
2026-04-14T13:05:00Z,20.9,0.0,Fitbit App
2026-04-14T13:10:00Z,20.4,0.0,Fitbit App
2026-04-14T13:15:00Z,20.1,0.0,Fitbit App
2026-04-14T13:20:00Z,19.3,0.0,Fitbit App
2026-04-14T13:25:00Z,23.7,0.0,Fitbit App
2026-04-14T13:30:00Z,28.3,0.0,Fitbit App
